Railroad Code,Incident Number,Grade Crossing ID,Date,Time,State Name,Highway User,Temperature,Visibility,Weather Condition,Number of Locomotive Units,Number of Cars
ATK,50314NOR02,390900P,1995-03-14,07:52 PM,WISCONSIN,Pedestrian,60,Dark,Clear,1,6
ATK,50314SORAA,629849M,1995-03-14,08:55 PM,NORTH CAROLINA,Auto,65,Dark,Clear,2,46
ATK,50315NEW03,NOTASGN,1995-03-15,08:44 PM,MASSACHUSETTS,Truck,38,Dark,Cloudy,1,9
ATK,50317SORAA,620935D,1995-03-17,08:40 PM,FLORIDA,Auto,65,Dark,Clear,2,9
ATK,50320SOR04,340207U,1995-03-20,08:46 AM,MISSISSIPPI,Auto,75,Day,Clear,2,9
ATK,50321SORAA,NOTASGN,1995-03-21,07:15 PM,FLORIDA,Truck,60,Dark,Clear,2,15
ATK,50323WSD01,026699P,1995-03-23,11:40 AM,CALIFORNIA,Auto,65,Day,Clear,1,6
ATK,50327NOR02,386378A,1995-03-27,03:48 PM,ILLINOIS,Auto,39,Day,Rain,2,15
ATK,50329SORAA,436044G,1995-03-29,10:10 PM,TEXAS,Auto,55,Dark,Clear,1,7
ATSF,20395200,005366F,1995-03-10,11:20 PM,MISSOURI,Pedestrian,53,Dark,Clear,3,55
ATSF,20395201,005347B,1995-03-11,05:35 PM,MISSOURI,Auto,65,Day,Clear,4,64
ATSF,20395202,009217T,1995-03-28,11:25 AM,KANSAS,Auto,47,Day,Clear,3,39
ATSF,20395203,004481J,1995-03-30,03:18 PM,ILLINOIS,Auto,43,Day,Clear,5,60
ATSF,60395200,021188M,1995-03-07,02:20 PM,TEXAS,Other,45,Day,Cloudy,2,78
ATSF,60395201,014973S,1995-03-11,02:05 AM,TEXAS,Auto,40,Dark,Clear,1,1
ATSF,60395202,024537F,1995-03-13,12:13 AM,TEXAS,Auto,60,Dark,Rain,3,116
ATSF,60395203,014989N,1995-03-18,10:15 PM,TEXAS,Auto,65,Dark,Clear,2,52
ATSF,70395200,014702L,1995-03-09,01:15 AM,TEXAS,Auto,35,Dark,Clear,3,65
ATSF,70395201,017279L,1995-03-11,10:03 PM,TEXAS,Auto,40,Dark,Clear,3,80
ATSF,110395200,026132K,1995-03-23,01:55 AM,CALIFORNIA,Auto,48,Dark,Cloudy,5,72
ATSF,120395200,028620V,1995-03-05,11:25 PM,CALIFORNIA,Auto,52,Dark,Cloudy,3,28
ATSF,120395201,842774Y,1995-03-19,04:00 AM,CALIFORNIA,Auto,50,Dark,Clear,1,4
ATSF,120395202,028570U,1995-03-27,09:35 AM,CALIFORNIA,Auto,56,Day,Clear,3,35
ATSF,120395203,028739S,1995-03-31,03:40 AM,CALIFORNIA,Truck,50,Dark,Cloudy,1,72
BAR,X950304,875069M,1995-03-17,08:55 AM,MAINE,Truck,40,Day,Cloudy,1,7
BN,AL0112,NOTASGN,1995-03-22,09:20 PM,NEBRASKA,Truck,51,Dark,Clear,2,116
BN,AL0115,089074R,1995-03-25,12:30 PM,NEBRASKA,Other,44,Day,Clear,3,116
BN,AO0020,602237M,1995-03-21,02:30 PM,TEXAS,Auto,80,Day,Clear,0,1
BN,AO0022,275775R,1995-03-22,02:15 AM,TEXAS,Auto,60,Dark,Clear,1,6
BN,CA0139,084765G,1995-03-08,10:18 PM,WASHINGTON,Auto,45,Dark,Cloudy,3,68
BN,FW0073,287969F,1995-03-08,08:05 PM,TEXAS,Auto,42,Dark,Clear,2,30
BN,FW0126,415871G,1995-03-09,10:50 AM,TEXAS,Auto,62,Day,Clear,2,48
BN,GT0100,079172E,1995-03-09,05:15 AM,IOWA,Truck,11,Dark,Clear,3,114
BN,GT0130,063208M,1995-03-25,09:16 PM,IOWA,Auto,50,Dark,Rain,2,1
BN,LC0015,069927U,1995-03-04,01:30 AM,ILLINOIS,Auto,20,Dark,Clear,2,60
BN,LC0017,080034M,1995-03-12,11:10 AM,WISCONSIN,Truck,46,Day,Clear,2,51
BN,LC0027,069779C,1995-03-25,03:25 AM,ILLINOIS,Auto,35,Dark,Clear,2,93
BN,LN0095,064129E,1995-03-26,01:55 PM,NEBRASKA,Auto,60,Day,Cloudy,3,104
BN,MC0014,076671K,1995-03-11,02:25 PM,NEBRASKA,Truck-trailer,70,Day,Clear,2,0
BN,MN0082,067226Y,1995-03-06,09:45 PM,MINNESOTA,Truck,18,Dark,Snow,3,60
BN,MN0090,067798A,1995-03-10,05:10 PM,MINNESOTA,Auto,40,Day,Clear,2,31
BN,MN0099,062770S,1995-03-21,11:00 PM,MINNESOTA,Auto,30,Dark,Clear,2,88
BN,MN0112,097595C,1995-03-31,08:15 PM,MINNESOTA,Truck,30,Dark,Cloudy,1,18
BN,MS0086,727692D,1995-03-22,04:40 AM,ALABAMA,Auto,60,Dark,Clear,3,11
BN,MS0143,732192R,1995-03-07,02:00 PM,TENNESSEE,Auto,60,Day,Clear,2,84
BN,MS0144,663422Y,1995-03-07,08:00 PM,TENNESSEE,Auto,45,Dark,Cloudy,1,4
BN,PA0115,096643L,1995-03-03,12:45 PM,WASHINGTON,Truck,50,Day,Clear,1,1
BN,PA0128,NOTASGN,1995-03-15,04:40 PM,WASHINGTON,Truck,50,Day,Clear,1,11
BN,PA0238,NOTASGN,1995-03-28,11:00 AM,WASHINGTON,Truck-trailer,58,Day,Clear,1,10
BN,PO0044,057930T,1995-03-10,08:45 AM,OREGON,Truck,55,Day,Cloudy,2,17
